model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
patchtst,etth1,HUFL,96,45,3.738388153561232,5.395595472826691,56.47180246652867,36.96140496455399,29.11245050638788,72.76808706500105,44.36042174997965,361888,612.57861328125
patchtst,etth1,HUFL,96,46,3.66127587387884,5.31688525122837,55.40386271548828,36.19899665380496,28.269268774729767,89.2054966149999,41.39940454997486,361888,612.57861328125
sarima,etth1,HUFL,96,42,3.901623339032556,5.566273338568461,57.66405917004375,38.57530955306554,30.98339887965809,110.8014894980006,11.802163207903504,0,0.0
seasonal_naive,etth1,HUFL,96,42,3.924425973031994,6.407727834953282,51.69752748302952,38.80075895930466,41.058976006835074,3.536300209816545e-05,0.0051547000111895,0,0.0
timesfm,etth1,HUFL,96,42,3.66553391257786,5.609909489978184,54.270201571533015,36.24109583833166,31.471084485747287,0.0,109.75876439915736,200000000,895.5625
xgboost,etth1,HUFL,96,42,4.071022031529452,5.689442221374837,59.73579572179354,40.25015267171796,32.36975279036265,19.689985372999217,46.54704179993132,756130,0.0
xgboost,etth1,HUFL,96,43,4.071242471672947,5.691454879621382,59.70191739212147,40.2523321611341,32.392658646766044,19.29154665199985,40.20843819998845,755740,0.0
xgboost,etth1,HUFL,96,44,4.074720007990496,5.692288203345264,59.73570345552274,40.28671452669704,32.40214498994365,19.46480350799993,41.54230879994429,755793,0.0
xgboost,etth1,HUFL,96,45,4.06100394163079,5.678670364718009,59.63091654481133,40.15110392062371,32.247297111126564,19.750283854999907,42.31326799999806,755730,0.0
xgboost,etth1,HUFL,96,46,4.071427166767367,5.690408826813626,59.774016193917134,40.25415823962019,32.38075261627843,20.201119769999423,43.67099400005827,755757,0.0
chronos_bolt_small,etth1,HUFL,168,42,3.768441381422488,5.845687187565585,53.36105537018408,37.19775677484801,34.17205869486844,0.0,64.73158540029544,47718016,381.35791015625
dlinear,etth1,HUFL,168,42,3.686873157550034,5.422600994701099,56.31536210708297,36.39260826779639,29.40460154773335,35.44511599600082,55.32162119998248,113232,32.609375
dlinear,etth1,HUFL,168,43,3.682494789601503,5.416426527019005,56.30613463685323,36.34939001135139,29.33767632259516,39.75520445500115,45.09742374998496,113232,32.609375
dlinear,etth1,HUFL,168,44,3.6957174676465248,5.425806598783807,56.45042762600594,36.47990921333648,29.439377247405904,28.01491133899981,44.71693425002741,113232,32.609375
dlinear,etth1,HUFL,168,45,3.684766234955788,5.420050345433877,56.34373713948387,36.37181113012813,29.376945747037887,34.91560288999972,58.65620949998629,113232,32.609375
dlinear,etth1,HUFL,168,46,3.688641132747078,5.4237042951856935,56.39377344465626,36.41005970320621,29.41656828161574,43.330400269000165,56.944189050000205,113232,32.609375
itransformer,etth1,HUFL,168,42,3.9723595403285463,5.8116635596369965,57.69831096746824,39.21060434476275,33.77543333041257,41.38964832800048,42.21620260000236,330024,165.1005859375
itransformer,etth1,HUFL,168,43,3.94642885739087,5.772248852092619,57.63227680204084,38.954646207354415,33.318856810484554,46.962362666000445,41.31464350002716,330024,165.1005859375
itransformer,etth1,HUFL,168,44,3.9988797850827,5.855563813842967,57.78035491574109,39.47238196424161,34.2876275779872,50.39871664800012,41.83060875002411,330024,165.1005859375
itransformer,etth1,HUFL,168,45,3.9787606087246,5.835914284517705,57.60107841910271,39.2737883938684,34.0578955362378,45.285304404999806,40.902131949997056,330024,165.1005859375
itransformer,etth1,HUFL,168,46,3.977678452169184,5.837339883567562,57.77178526424348,39.26310657816096,34.074536916288565,44.366868133000025,41.18312609998611,330024,165.1005859375
patchtst,etth1,HUFL,168,42,4.050886769450758,5.776537151479103,59.37343879460815,39.98573561879313,33.36838146241831,78.02452238700062,43.16226554997229,555496,617.015625
patchtst,etth1,HUFL,168,43,4.114367390089322,5.917711702120343,59.58917055030888,40.61234392908037,35.01931178941204,73.03368391700042,42.65236615001413,555496,617.015625
patchtst,etth1,HUFL,168,44,3.9555915259509367,5.725565079412337,58.09698568944736,39.0450896246744,32.782095478586,85.38200971799961,43.57185570002002,555496,617.015625
patchtst,etth1,HUFL,168,45,3.930278330849253,5.650945285873545,58.28135910504847,38.79522662316175,31.93318262393645,85.10005199200077,43.72136009997121,555496,617.015625
patchtst,etth1,HUFL,168,46,4.0893739140942325,5.848231066296079,59.76066627993235,40.36563683006417,34.201806604790576,62.62012963100005,45.09654620001129,555496,617.015625
sarima,etth1,HUFL,168,42,4.175692638301116,5.873069121887433,60.30424749910463,41.21767686019218,34.49294091046762,110.48621788690798,14.46458080317825,0,0.0
seasonal_naive,etth1,HUFL,168,42,4.180376351874045,6.698292580284449,54.20220365940088,41.263909140505135,44.86712349109371,3.616200046963058e-05,0.0053249001211952,0,0.0
timesfm,etth1,HUFL,168,42,3.787262691079936,5.746054418468805,55.77000244253946,37.383539284899314,33.01714138000488,0.0,208.50659779971463,200000000,896.4013671875
xgboost,etth1,HUFL,168,42,4.170033018046387,5.840398991260374,60.402281168299886,41.1618115417846,34.1102603771152,34.86718476100032,73.81852259986772,1322570,0.0
xgboost,etth1,HUFL,168,43,4.172571250299778,5.842984098699906,60.41965173892946,41.18686607665549,34.14046317765996,35.125716087,75.4095934000361,1322607,0.0
